54,1
55,1
57,3
58,2
59,1
60,2
61,4
62,4
63,3
64,10
65,13
66,14
67,20
68,29
69,26
70,42
71,61
72,66
73,80
74,118
75,143
76,184
77,262
78,277
79,377
80,433
81,575
82,631
83,699
84,923
85,1044
86,1275
87,1410
88,1687
89,1909
90,2076
91,2429
92,2779
93,3084
94,3327
95,3772
96,4135
97,4596
98,4981
99,5245
100,5770
101,6165
102,6627
103,7301
104,7507
105,7922
106,8415
107,8773
108,9200
109,9454
110,9680
111,10016
112,10408
113,10533
114,10782
115,11001
116,11117
117,11212
118,11381
119,11201
120,11274
121,11121
122,11112
123,11257
124,10901
125,10785
126,10437
127,10204
128,10100
129,9700
130,9317
131,9132
132,8798
133,8600
134,8231
135,7756
136,7476
137,7115
138,6685
139,6450
140,6111
141,5643
142,5356
143,5088
144,4799
145,4474
146,3961
147,3880
148,3550
149,3171
150,3027
151,2807
152,2539
153,2343
154,2171
155,1981
156,1851
157,1702
158,1433
159,1358
160,1236
161,1135
162,979
163,918
164,784
165,781
166,656
167,577
168,488
169,488
170,411
171,393
172,309
173,316
174,247
175,257
176,221
177,191
178,178
179,132
180,106
181,83
182,87
183,83
184,68
185,62
186,58
187,35
188,44
189,40
190,22
191,34
192,26
193,18
194,20
195,16
196,14
197,12
198,13
199,11
200,9
201,4
202,4
203,3
204,4
205,2
206,5
207,1
208,1
209,2
213,1
216,1
217,1
