G	 E	 S	 m
-0.5	-12.76256915102408	0.39055546313768386	-0.06357014973958333
-0.55	-12.926246012365487	0.4778574470293778	0.05138041178385416
-0.6	-13.107164944918747	0.560179720329678	0.040194702148437504
-0.65	-13.306003887130132	0.6580174780290472	0.01661478678385417
-0.7	-13.523686903200295	0.7594361175393767	-0.036700439453125
-0.75	-13.761489542178897	0.8628072239811966	-0.030170694986979163
-0.8	-14.021144494312766	2.0938586958502	-0.028125
-0.8500000000000001	-14.304867281200533	2.1020754891718063	-0.007291666666666663
-0.9	-14.615142146895279	2.131834551960268	-0.01145833333333333
-0.95	-14.95410127852544	1.5241248199384883	0.0042236328125
