dD	 D	 
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.00014135067877815488	1.000199920031987
0.00014135067877815488	1.000199920031987
0.00014135067877815488	1.000199920031987
0.00014135067877815488	1.000199920031987
0.00014135067877815488	1.000199920031987
0.00019988005997201267	1.0003998400639744
0.00024477759691219844	1.0005997600959615
0.0003461274006393589	1.000999600159936
0.0004237928660422999	1.0015993602558977
0.0004892082332445565	1.0021991203518592
0.0005646638226898342	1.002998800479808
0.0007051943012118701	1.0047980807676928
0.0008097116312264158	1.0061975209916034
0.0009342933672219482	1.0079968012794882
0.0010436151197280236	1.0099960015993603
0.0013694541299907714	1.0151939224310276
0.0017064267729110882	1.021391443422631
0.002081178597686931	1.0291883246701319
0.002431861102698689	1.0375849660135945
0.002875320342257879	1.049580167932827
0.0034293477285383374	1.0655737704918034
0.0040967060356675	1.0873650539784085
0.004938674284316932	1.1135545781687326
0.00595497312590039	1.1417433026789283
0.00718577238868259	1.1855257896841263
0.008626435521585993	1.2413034786085566
0.010212670540191869	1.3038784486205517
0.012344444923152302	1.3894442223110757
0.015121071062818375	1.4984006397441023
0.018178549825266798	1.6313474610155938
0.021764276879872684	1.7946821271491404
