dD	 D	 
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	2.0
0.0	3.0
0.0	5.0
0.3	8.1
0.4	13.8
0.5385164807134504	23.1
0.8944271909999159	37.0
1.118033988749895	57.5
1.284523257866513	86.5
1.6881943016134133	125.5
2.118962010041709	174.9
2.1931712199461306	235.7
2.1354156504062622	306.8
2.4	386.2
2.4083189157584592	471.0
2.2825424421026654	557.7
2.3853720883753127	642.1
2.4000000000000004	721.2
1.9390719429665317	792.2
1.6278820596099706	852.5
1.562049935181331	901.6
1.2489995996796797	939.8
1.2	968.4
0.9219544457292888	988.5
0.7	1002.1
0.48989794855663565	1010.6
0.0	1016.0
0.0	1019.0
0.0	1021.0
0.0	1022.0
0.0	1022.0
0.0	1022.0
0.0	1022.0
0.0	1022.0
0.30000000000000004	1022.1
0.48989794855663565	1022.4
0.3	1022.9
0.3	1022.9
0.3	1022.9
0.3	1022.9
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
