dD	 D	 
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.3	1.1
0.66332495807108	1.6
1.2688577540449522	2.3
2.449489742783178	4.0
4.3	6.9
7.175653280364096	11.1
11.315917991926241	17.5
16.93546574499798	26.7
24.190080611688753	38.2
33.00621153661838	53.3
43.26938871766043	71.4
54.85444375800378	92.3
67.63992903603611	115.8
80.73388384067746	141.8
93.81385825132661	168.6
106.25370581772665	196.5
118.06053531980956	224.1
127.94643410427663	251.1
136.24261447873056	276.5
142.08240566657082	300.3
146.07330351573486	322.3
147.64907720673366	342.5
147.42594751264107	360.3
145.409903376627	376.6
141.52840704254393	391.1
136.38434660913254	404.1
130.1299734880477	415.7
123.27047497272005	426.3
115.27571296678238	436.1
106.8080521309138	445.2
97.87216151695026	453.8
88.91703998672021	461.4
79.84165579445356	469.1
70.33747223208977	476.2
61.39128602660153	483.1
51.66323644527122	489.9
42.57240890529921	496.3
33.86502620698823	502.6
25.495293683344777	508.7
18.41982627496796	514.9
15.22136656151477	520.9
18.008053753806937	527.1
24.68521824898455	533.2
33.072798490602516	539.3
42.01475931146101	545.4
51.435007533779945	551.8
60.87232540325694	558.6
70.48042281371472	565.1
79.48962196412812	572.0
89.03482464743782	579.0
98.07145354281234	586.3
107.0670817758661	594.2
115.34561109985935	602.3
123.4755441372906	611.3
131.0062593924428	620.6
137.8208982701825	631.0
143.35163061507185	642.1
147.8802218012943	654.8
151.1278928589954	668.6
152.38139650232898	683.9
151.91342929445045	700.9
149.45019237190698	719.8
144.89447884581386	740.3
138.38168231380914	763.1
129.47416730761393	787.2
119.19161044301734	812.6
106.95255957666464	838.5
94.09250767197142	865.0
80.46893810657626	890.5
67.18340568920274	914.7
54.39751832574718	937.1
42.47222621902459	956.9
32.25151159248198	973.8
23.547611343828486	987.9
16.38566446623389	998.9
10.949429208867464	1007.1
6.81175454637056	1013.0
4.036087214122113	1016.9
2.1540659228538015	1019.4
1.077032961426901	1020.8
0.48989794855663565	1021.6
0.30000000000000004	1022.1
0.30000000000000004	1022.1
0.48989794855663565	1022.4
0.48989794855663565	1022.4
0.4	1022.8
0.0	1023.0
0.0	1023.0
0.0	1023.0
