dD	 D	 
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.1047543231596855	0.016102854901540092
1.7002163825834316	0.27770563552379335
6.78071905011029	1.3416803796684431
18.02339950003641	4.121655348444816
30.980608690045123	8.479053431576444
51.077371243011	17.60314681094182
73.58759916590725	31.696042415753006
91.93852922990392	51.6628727971942
107.97466130304538	81.20320550341066
119.40190747739963	120.18566920538635
129.95718917251136	167.90751295672197
145.5681686550077	224.87197307758842
163.8715058144643	283.5778705003684
177.29895674541547	341.9826394789119
181.46740014241476	395.6105433865925
175.92480970491556	444.2555433809215
165.3999299352511	485.75786390945075
154.2281808755454	517.2560240098402
145.3851576514898	540.1733506491998
138.70497538983636	555.3195322281732
133.2211984175118	564.9151657666997
128.2960558829727	570.927671403561
123.15175023206311	575.2678916664618
118.37492674098395	578.2762672637035
114.31341342917085	581.2018505234987
111.04457864244117	583.4901797987775
108.63464469827129	585.8836063086702
107.04553032075762	587.772612771219
106.26504522821142	589.9560075027694
105.93189825317808	591.4172357343197
106.2767955613778	593.3203430003088
106.56354319179731	594.3864985636735
