G	 dE	 E	 dS	 S	 Kb	 dI 	 I
-0.5	0	-21.270888306919268	0.0	1.0	-2.452771309497585	0.00878692009480063 	0.9997368124225716
-0.55	0	-21.543560318868607	0.0	1.0	-2.783653660988774	0.009058260327598933 	1.0016941115060627
-0.6	0	-21.844775506469116	0.0	1.0	-3.147117687548866	0.010220400534629916 	1.0024729488048312
-0.65	0	-22.175432493382694	0.0	1.0	-3.5474297632976213	0.009527860334398085 	1.0063340717022038
-0.7	0	-22.536649052919415	0.0	1.0	-3.991221974158889	0.0090002586775652 	1.013795384282616
-0.75	0	-22.929876468053084	0.0	1.0	-4.4895900571679315	0.009961092246033913 	1.0226234857244751
-0.8	0	-23.357129926462	0.0	1.0	-5.062241789529786	0.010640009876599745 	1.0362212995932525
-0.8500000000000001	0	-23.821431338351047	0.0	1.0	-5.743620949997182	0.01175258874760993 	1.0553994288410973
-0.9	0	-24.327479625332384	0.0	1.0	-6.582958463536904	0.012356424976368813 	1.08902618351964
-0.95	0	-24.881908633290756	0.0	1.0	-7.606494554767115	0.014367147536780867 	1.1507086471972863
-1.0	0	-25.490989686364752	0.0	1.0	-8.720767107468802	0.01432832826918827 	1.2399609676888128
-1.05	0	-26.155119908120966	0.0	1.0	-9.71453539065256	0.02233224888836815 	1.3635361463671003
-1.1	0	-26.866918277498836	0.0	1.0	-10.463976121005869	0.024543435495126494 	1.4995041500003747
-1.15	0	-27.616271536342886	0.0	1.0	-10.997090387700707	0.02806676048453987 	1.6518805224702513
-1.2000000000000002	0	-28.394759996679056	0.0	1.0	-11.384541461023415	0.03140374106762184 	1.810023444738308
-1.25	0	-29.19641240807736	0.0	1.0	-11.679330910118619	0.039234717600289556 	1.9854244167731212
-1.3	0	-30.017053836124386	0.0	1.0	-11.913247624656158	0.04337539541219542 	2.1444465245597275
-1.35	0	-30.853655685825803	0.0	1.0	-12.104877969935064	0.056625752123733435 	2.328992730351424
-1.4	0	-31.703921964467355	0.0	1.0	-12.26554613631973	0.06428368116105235 	2.5066226413985997
-1.4500000000000002	0	-32.56604662661418	0.0	1.0	-12.402570659375545	0.053157733752117214 	2.6815661133957884
