dNS	 NS	 dE	 E	 
0	50	15.002999700059986	-137.1
0	100	14.732616875490926	-137.5
0	150	15.073154945133417	-137.0
0	200	15.197368193210297	-136.8
0	250	14.906709898565813	-137.3
0	300	14.879852149803103	-137.3
0	350	14.739402972983676	-137.5
0	400	14.938540758722052	-137.2
0	450	14.677874505527019	-137.6
0	500	14.945233353815523	-137.2
0	550	14.746185947559457	-137.5
0	600	14.866405079910878	-137.3
0	650	14.996332885075605	-137.1
0	700	15.129111011556496	-136.9
0	750	14.951922953252534	-137.2
0	800	14.608559134972895	-137.7
0	850	14.538225476308998	-137.8
0	900	14.671059948074646	-137.6
0	950	14.80675521510368	-137.4
0	1000	14.813507349712964	-137.4
