dD	 D	 
0.0	1.0
0.0	1.0
0.6403124237432849	2.7
1.6155494421403513	6.7
3.23882694814033	12.9
5.800000000000001	22.4
8.83685464404615	33.9
12.361229712289955	47.0
15.894967757123636	60.5
19.608416560242695	74.1
23.681216184985093	87.0
27.32105415242977	99.6
30.955451862313364	111.4
34.63177731506138	122.8
38.126106541318904	134.0
41.20922226880774	145.0
44.442772190762355	156.2
47.20211859652064	167.4
49.931953697006485	179.0
51.9792266198719	190.6
54.0408179064677	202.7
55.693446652187006	214.8
57.0087712549569	227.0
58.68568820419507	239.3
60.56434594709993	251.6
62.31861680108119	263.7
64.2927678670004	275.8
65.62347141076887	287.4
67.12384077211316	299.3
68.01536591094691	311.1
68.68486004935878	323.3
69.10021707635946	335.6
69.27257754696299	347.9
68.79978197639873	360.3
68.32137293702462	372.7
67.20386893624503	385.2
65.69178030773713	397.7
63.34634953965383	409.8
60.543868393091635	422.2
56.76310421391698	434.5
52.870029317184986	446.6
48.7343821136577	459.4
44.332380942151076	471.8
40.402475171702044	484.2
36.95456670020635	496.6
34.31326274197777	509.0
32.4037034920393	521.0
30.859196360242436	533.1
30.045964787305465	545.2
30.13320427700977	557.3
31.164884084494844	569.5
33.205421244128196	582.0
36.12215386712149	594.7
40.472336231060346	607.7
45.350192943360234	620.6
50.331401728940556	633.5
55.13401853665303	646.2
59.04921676025855	658.7
62.10644088981433	670.7
64.30248828777934	682.7
65.64114563290315	694.2
66.37137937394401	706.2
66.45758045550559	718.3
66.55193460749283	730.2
66.11058916694057	742.3
65.44493868894675	754.4
64.29183462929022	766.6
62.74113483194259	778.5
60.70288296283793	790.4
58.66353211323028	802.3
56.535740907854034	813.9
54.040355291208066	825.8
51.64891092753069	837.7
49.53826803593359	849.6
47.66770395141767	861.3
45.59045952828289	873.1
44.06540593254532	884.2
42.13181695583517	895.1
40.650215251582615	905.6
38.62330902447381	915.8
36.85715669988666	925.5
34.72981428110435	935.2
32.72934463138546	944.3
30.290097391721936	953.1
27.538336914200173	961.8
24.458945193936717	970.6
20.88923167567443	979.2
17.08215443086732	988.0
13.336041391657421	996.5
9.449338601193206	1004.1
6.0835844697020525	1010.7
3.6180105030251086	1016.1
1.7435595774162693	1019.6
0.5	1021.5
0.0	1022.0
0.30000000000000004	1022.1
