dId	 Id	 dYmin	 Ymin	 dVratio	 Vratio	 
6	8.881784197001253e-17	3.0000000000000004	0.0005188896479733595	0.023325941088747165	0.0005188896479733596	0.5442897172742424
7	4.4408920985006264e-17	2.9999999999999996	0.0005259704014673939	-0.12270507848390068	0.0005259704014673939	0.34284290390503386
8	4.4408920985006264e-17	2.9999999999999996	0.00046541856148369753	-0.053394663866658726	0.00046541856148369753	0.24455201107082
9	4.4408920985006264e-17	2.9999999999999996	0.0003986716510099426	-0.02518854964171828	0.0003986716510099426	0.19362525312515072
10	0.0	3.0	0.0003445841037274538	-0.01654610918550915	0.0003445841037274538	0.16678672516241
11	0.0	3.0	0.00030562774909596624	-0.01772136152881669	0.00030562774909596624	0.1531168990541717
12	4.4408920985006264e-17	2.9999999999999996	0.0002801730282142573	-0.02368321845211085	0.0002801730282142573	0.1467709624296033
13	0.0	3.0	0.00026685354919678885	-0.03153777295581421	0.00026685354919678885	0.14427720194027394
14	0.0	2.9999999999999996	0.0002616926631902183	-0.039586114022231854	0.0002616926631902183	0.14351731795343575
15	0.0	3.0	0.00026045693316009157	-0.04700965961382735	0.0002604569331600915	0.14336218575720644
