dD	 D	 
0.0	1.0
0.0	1.0
0.3	1.1
0.66332495807108	2.6
1.2806248474865698	5.6
2.4576411454889016	11.6
4.48998886412873	20.8
6.803675477269621	33.9
9.502105029939418	50.9
12.539537471533787	71.6
15.61697794069006	95.9
18.33275756671647	122.9
21.363754351705133	152.3
23.91840295671933	183.1
26.43860813280457	215.0
28.606992152269346	248.2
30.38420642373271	282.0
32.1434285663493	316.0
33.76388603226827	350.0
35.40917960077584	384.3
36.73363581242674	418.2
38.177087369258544	452.1
39.491264856927536	485.8
40.97426021296785	519.1
42.070060613219944	552.1
43.052990604602606	585.2
43.311545804785126	617.9
43.250895944477264	650.4
43.14684229465698	682.5
42.211846678391126	714.4
41.04680255513211	745.6
39.0020512281085	776.8
36.652421475258635	807.0
33.48566857627305	836.9
29.900501668032256	865.4
25.655603676390076	892.7
21.468348795377818	918.1
17.18836815989232	941.6
13.587126259809319	962.3
9.877246579892596	980.2
6.80881781221968	994.8
4.214261501141095	1005.8
2.5317977802344322	1013.3
1.4000000000000001	1018.2
0.48989794855663565	1020.6
0.30000000000000004	1021.9
0.0	1022.0
0.0	1022.0
