dNS	 NS	 dE	 E	 
0	50	6.361302762760642	-75.42222222222222
0	100	4.475185353772209	-77.52222222222223
0	150	4.021915273739093	-77.84444444444445
0	200	3.2831218205983292	-78.23333333333333
0	250	0.0	-79.0
0	300	0.0	-79.0
0	350	0.0	-79.0
0	400	0.0	-79.0
0	450	0.0	-79.0
0	500	0.0	-79.0
0	550	0.10482201257840673	-79.0111111111111
0	600	0.0	-79.0
0	650	0.0	-79.0
0	700	0.0	-79.0
0	750	0.10482201257840673	-79.0111111111111
0	800	0.0	-79.0
0	850	0.10482201257840672	-79.0111111111111
0	900	0.14740554623801777	-79.02222222222223
0	950	0.0	-79.0
0	1000	0.14740554623801777	-79.02222222222223
