dNS	 NS	 dE	 E	 
0	50	1.4884327659539855	-66.38888888888889
0	100	1.498517786199268	-66.43333333333334
0	150	1.484737163421339	-66.53333333333333
0	200	1.478070146516968	-66.64444444444445
0	250	1.456742518577699	-66.78888888888889
0	300	1.4597902775128309	-66.81111111111112
0	350	1.4238272193694304	-66.92222222222222
0	400	1.3539608105640322	-66.9888888888889
0	450	1.276811228639632	-67.05555555555556
0	500	1.2600215557630967	-67.11111111111111
0	550	1.2600215557630967	-67.11111111111111
0	600	1.1498255369542367	-67.21111111111111
0	650	1.1661903789690602	-67.2
0	700	1.0752547788808813	-67.27777777777777
0	750	1.0692676621563626	-67.3
0	800	1.0309410779345438	-67.32222222222222
0	850	1.0503379820530199	-67.31111111111112
0	900	1.0692676621563626	-67.3
0	950	0.9696632990787301	-67.35555555555555
0	1000	0.9740459086196941	-67.38888888888889
