dNS	 NS	 dS	 S	 
0	50	0.48989794855663565	0.6
0	100	0.48989794855663565	0.6
0	150	0.48989794855663565	0.6
0	200	0.48989794855663565	0.6
0	250	0.48989794855663565	0.6
0	300	0.5	0.5
0	350	0.5	0.5
0	400	0.5	0.5
0	450	0.5	0.5
0	500	0.5	0.5
0	550	0.48989794855663565	0.4
0	600	0.48989794855663565	0.4
0	650	0.48989794855663565	0.4
0	700	0.48989794855663565	0.4
0	750	0.48989794855663565	0.4
0	800	0.48989794855663565	0.4
0	850	0.48989794855663565	0.4
0	900	0.48989794855663565	0.4
0	950	0.48989794855663565	0.4
0	1000	0.48989794855663565	0.4
