dD	 D	 
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.9000000000000001	1.3
2.1	1.7
4.800000000000001	2.6
9.410632284814874	4.8
16.10620998248812	7.7
25.91929782999532	12.3
37.95734448035057	18.2
51.544640846551644	25.5
66.608107614614	34.4
80.89134687962614	44.7
93.61201845917007	55.7
104.28230914205918	68.0
112.24103527676498	81.5
116.66601904582157	96.8
118.66022922613962	113.5
118.01614296357936	132.3
114.87837046198035	153.6
109.68504911791761	177.3
102.72122468117287	203.5
94.35364327888988	232.7
84.77051374151273	264.4
73.58050013420674	298.9
61.73167744359455	336.0
48.590636958163046	375.5
34.99371372118141	416.2
21.438516739737384	458.3
10.604244433244643	501.5
15.370100845472681	544.6
28.556785533389434	587.1
42.57099951845152	628.9
56.19973309545162	669.3
69.01311469568664	707.3
80.60899453534947	743.3
91.19654598722474	776.7
100.68311675747826	807.1
108.56560228728067	834.9
115.04438273988	859.7
119.57942966915338	881.6
122.11240723202536	901.4
122.28491321499966	919.0
119.88344339398998	934.6
114.6483754791144	948.5
106.35548880993402	961.1
95.27518039867466	972.2
81.99414613251362	982.6
66.965737508072	991.7
52.31022844530503	999.8
38.192276706161415	1006.5
26.04784060147789	1012.1
16.406096427852663	1016.2
9.271461589199406	1018.8
4.8	1020.4
2.1	1021.3
0.6000000000000001	1021.8
0.30000000000000004	1022.1
0.45825756949558405	1022.3
0.30000000000000004	1022.9
0.30000000000000004	1022.9
0.0	1023.0
