G	 dE	 E	 dS	 S	 Kb	 dI 	 I
-0.5	0	-12.762569151024055	0.0	1.0	-1.7496198765179105	0.009548829276872922 	0.9986662943344331
-0.55	0	-12.926246012365475	0.0	1.0	-1.9494307083226836	0.010659284965012564 	0.997870740354011
-0.6	0	-13.107164944918775	0.0	1.0	-2.170552047950272	0.009521968845820458 	0.9989894272409278
-0.65	0	-13.306003887130116	0.0	1.0	-2.4172206741908058	0.00951363315265447 	0.9987785790222438
-0.7	0	-13.523686903200302	0.0	1.0	-2.6957969372587467	0.00994456238027446 	1.001204513715733
-0.75	0	-13.761489542178936	0.0	1.0	-3.0150480489694242	0.009627932716734119 	0.9990866850904331
-0.8	0	-14.021144494312761	0.0	1.0	-3.385216918002909	0.009046409630425214 	0.9993791351529099
-0.8500000000000001	0	-14.304867281200567	0.0	1.0	-3.8142208887647557	0.009625642247799913 	0.9984801774750559
-0.9	0	-14.615142146895222	0.0	1.0	-4.299721991625081	0.010974084912356543 	0.9971069257897821
-0.95	0	-14.95410127852544	0.0	1.0	-4.820178715746875	0.009364548455922184 	0.9905152359949931
-1.0	0	-15.32259515108082	0.0	1.0	-5.335179810225462	0.009052245869573658 	0.98332758071424
-1.05	0	-15.719528541526984	0.0	1.0	-5.801812207441955	0.010290668015685678 	0.9784123076960204
-1.1	0	-16.14204898485902	0.0	1.0	-6.194408231381888	0.009532508863101636 	0.9719464293195912
-1.15	0	-16.586429499718026	0.0	1.0	-6.509593784051986	0.008905022711996606 	0.966239771599206
-1.2000000000000002	0	-17.048959356652894	0.0	1.0	-6.7578148500482484	0.01010444964453025 	0.9625428421213705
-1.25	0	-17.526430617891002	0.0	1.0	-6.953475467585123	0.008787981167638776 	0.9552842423540308
-1.3	0	-18.016257598677583	0.0	1.0	-7.109607167632529	0.009285274462854591 	0.9521605501982964
-1.35	0	-18.51641341351046	0.0	1.0	-7.2363284979160545	0.008822678882746042 	0.9464657056399999
-1.4	0	-19.025315452324822	0.0	1.0	-7.34101796630626	0.008118890628259956 	0.9426129088984052
-1.4500000000000002	0	-19.541717536247305	0.0	1.0	-7.428945510317957	0.00823925765407972 	0.9362740032030071
