G	 E	 S	 m
-0.5	-12.76256915102408	0.4082532379296954	-0.0018289184570312491
-0.55	-12.926246012365487	0.4820286712653685	-0.004520975748697919
-0.6	-13.107164944918747	0.5684378740622765	-0.04444864908854167
-0.65	-13.306003887130132	0.6516144775321853	-0.028654174804687495
-0.7	-13.523686903200295	0.7587022535219817	0.020117289225260418
-0.75	-13.761489542178897	0.8711474955997619	-0.007788899739583332
-0.8	-14.021144494312766	2.103000434039542	0.006145833333333336
-0.8500000000000001	-14.304867281200533	2.0989334802555426	0.006249999999999999
-0.9	-14.615142146895279	2.0997456640838608	0.003958333333333332
-0.95	-14.95410127852544	1.5236015881313625	-0.00037892659505208315
