G	 E	 S	 m
-0.5	-12.621420229441698	0.4446680897354598	0.005792643229166663
-0.55	-12.754993982856343	0.556972144120193	-0.02143229166666668
-0.6	-12.908178565317092	0.6712017519487862	0.031124674479166656
-0.65	-13.086488586443814	0.8153669226101088	-0.0014534505208333292
-0.7	-13.29915032153164	0.9865232379273127	-0.013111979166666671
-0.75	-13.533949663605068	1.1602718956679896	-0.02581705729166666
-0.8	-13.792087502064149	1.374696272980047	-0.022501627604166664
-0.8500000000000001	-14.098288869237626	1.553082694210629	0.01707845052083333
-0.9	-14.43090817565868	1.7449921180416026	0.0035416666666666656
-0.95	-14.812282808658432	1.8802625933551727	0.007490234375000004
