dD	 D	 
0.0	1.0
0.0	1.0
0.0	1.0
0.9	2.3
1.8330302779823362	4.8
3.8845849199110063	9.9
6.469157595854347	17.5
9.706183596038146	28.7
13.95850994913139	43.4
18.425254408012933	61.9
22.88776965979866	83.5
27.135954009394993	107.8
30.517044417833127	134.9
33.286784164289585	163.7
35.2794557781154	194.4
36.27133854712285	226.3
36.64000545851487	259.1
36.05842481307246	293.3
34.76276743874112	328.5
33.138497250177174	364.2
30.85384903055047	400.8
28.695121536595725	437.7
26.630809225406576	475.0
24.745908752761533	512.2
23.668755776339406	549.3
22.64707486630448	585.9
22.712331452319024	622.5
23.19568925468696	658.4
24.759846526180244	693.5
25.811818998280614	727.5
26.64132128855474	760.8
27.240411156955766	792.6
27.249954128401757	823.2
26.51056393213845	852.3
25.15074551578939	880.2
22.98260211551338	906.0
20.09975124224178	930.0
16.947271166769003	951.7
13.566134305689296	970.4
10.080178569846865	986.3
6.971370023173351	999.0
4.608687448721165	1008.4
2.7367864366808017	1014.9
1.374772708486752	1018.9
0.5385164807134504	1021.1
0.0	1022.0
0.0	1022.0
0.30000000000000004	1022.1
