dNS	 NS	 dE	 E	 
0	50	1.2403205479747548	-48.077777777777776
0	100	1.1033059188716807	-48.22222222222222
0	150	1.0884352796674184	-48.24444444444445
0	200	1.0692676621563626	-48.3
0	250	1.1257370699312002	-48.27777777777778
0	300	1.1333333333333333	-48.266666666666666
0	350	1.1527744310527055	-48.266666666666666
0	400	1.0979217179587224	-48.28888888888889
0	450	1.1527744310527055	-48.266666666666666
0	500	1.1608851454763536	-48.31111111111111
0	550	1.2333333333333334	-48.36666666666667
0	600	1.2806248474865698	-48.4
0	650	1.3601470508735443	-48.5
0	700	1.384035966135113	-48.53333333333333
0	750	1.3837237289374968	-48.544444444444444
0	800	1.406729856400613	-48.56666666666667
0	850	1.4039186779585875	-48.611111111111114
0	900	1.3996913239958073	-48.65555555555556
0	950	1.4439742824562571	-48.67777777777778
0	1000	1.4624518563353686	-48.71111111111111
