dNS	 NS	 dS	 S	 
0	50	0.48989794855663565	0.6
0	100	0.45825756949558394	0.7
0	150	0.30000000000000004	0.9
0	200	0.45825756949558394	0.7
0	250	0.45825756949558394	0.7
0	300	0.45825756949558394	0.7
0	350	0.45825756949558394	0.7
0	400	0.45825756949558394	0.7
0	450	0.45825756949558394	0.7
0	500	0.45825756949558394	0.7
0	550	0.45825756949558394	0.7
0	600	0.45825756949558394	0.7
0	650	0.45825756949558394	0.7
0	700	0.48989794855663565	0.6
0	750	0.48989794855663565	0.6
0	800	0.48989794855663565	0.6
0	850	0.48989794855663565	0.6
0	900	0.48989794855663565	0.6
0	950	0.48989794855663565	0.6
0	1000	0.48989794855663565	0.6
