dD	 D	 
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.5385164807134505	1.9
1.2489995996796797	4.2
2.879236009777594	9.1
5.095095681142799	18.2
8.820997676000147	33.7
13.36749789601629	56.9
18.35783211602067	88.7
23.719401341517873	129.3
27.928659115682585	176.7
30.44092639851816	228.5
30.9088983951224	281.2
29.292490505247244	331.5
25.980954562910117	376.7
21.62059203629725	414.5
16.889345754054535	444.5
12.475576139000555	467.6
8.979977728257458	483.6
6.00416522091123	494.5
3.7483329627982624	501.5
2.244994432064365	505.6
1.3453624047073711	508.3
0.7810249675906655	509.7
0.6403124237432849	510.3
0.30000000000000004	510.9
0.0	511.0
0.0	511.0
0.0	511.0
0.0	511.0
0.0	511.0
0.0	511.0
0.0	511.0
0.0	511.0
0.30000000000000004	511.1
0.6403124237432849	511.7
0.7810249675906654	512.3
1.345362404707371	513.7
2.5	516.5
3.8845849199110063	520.9
6.236184731067546	527.9
9.249864863877741	538.8
12.984991336154213	555.3
17.426703646989584	578.1
22.18918655561758	608.8
26.718720029222958	647.1
29.84375981675231	692.5
31.660701192487824	743.0
31.120571974178112	795.9
28.304769916040655	847.8
24.12571242471401	895.5
18.587361297397756	936.1
13.507035203922436	967.6
8.546929273136639	990.5
5.122499389946279	1005.4
2.8000000000000003	1014.4
1.2489995996796797	1019.2
0.48989794855663565	1021.4
0.0	1022.0
0.0	1022.0
0.30000000000000004	1022.1
0.48989794855663565	1022.6
