dNS	 NS	 dE	 E	 
0	50	0.6540472290116194	-50.833333333333336
0	100	0.4528374193847742	-50.922222222222224
0	150	0.4422166387140533	-50.93333333333333
0	200	0.33035708327374463	-50.955555555555556
0	250	0.3144660377352202	-50.96666666666667
0	300	0.3144660377352202	-50.96666666666667
0	350	0.3144660377352202	-50.96666666666667
0	400	0.3144660377352202	-50.96666666666667
0	450	0.2096440251568134	-50.977777777777774
0	500	0.1048220125784067	-50.98888888888889
0	550	0.0	-51.0
0	600	0.0	-51.0
0	650	0.0	-51.0
0	700	0.0	-51.0
0	750	0.0	-51.0
0	800	0.0	-51.0
0	850	0.0	-51.0
0	900	0.0	-51.0
0	950	0.0	-51.0
0	1000	0.0	-51.0
