dD	 D	 
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0007074602455244363	1.001001001001001
0.0009999984959913571	1.002002002002002
0.0014127922564658587	1.004004004004004
0.0015787558186392623	1.005005005005005
0.001995855297554073	1.007007007007007
0.0021158727101841563	1.008008008008008
0.0034512603309419265	1.015015015015015
0.004446882614872035	1.023023023023023
0.005301484028989988	1.03003003003003
0.00734207440068897	1.049049049049049
0.010899060156137959	1.083083083083083
0.01509999489190906	1.1261261261261262
0.021371085610875855	1.1881881881881882
0.028866639041172322	1.2912912912912913
0.04068060066829519	1.4404404404404405
0.05367845927110396	1.6246246246246245
0.0705907623063021	1.9009009009009008
0.08989366428232051	2.2482482482482484
0.11663572944029613	2.7437437437437437
0.14652502298174844	3.3313313313313313
0.18068826701645838	4.055055055055055
0.22634138624950825	5.063063063063063
0.2774806228887767	6.346346346346347
0.33604507690961744	7.873873873873874
0.4088271629867314	9.851851851851851
0.48945951403088384	12.218218218218219
0.5816191757434254	15.178178178178179
0.6826238058558738	18.59059059059059
0.8002297476252515	22.792792792792792
0.9316833797091977	27.63163163163163
1.0712738795188048	33.291291291291294
1.2239497960080667	39.8998998998999
1.3885291487683507	47.550550550550554
1.5631331186844355	56.15615615615616
1.7490167254483977	65.90990990990991
1.9463252829532502	76.88188188188188
2.1492448874236847	88.93993993993993
2.3658665102149703	102.54654654654655
2.58450631743774	117.51651651651652
2.8052686336774406	133.88088088088088
3.0255858297169964	151.34534534534535
3.2455288557987374	170.17517517517518
3.463818279240646	190.44744744744744
3.6728445530625633	211.83883883883883
3.875488774788312	234.22622622622623
4.065586411288457	257.86886886886884
4.244758635447956	282.47047047047045
4.412565495550809	307.7007007007007
4.561466163589401	333.96596596596595
4.69103669366527	360.6026026026026
4.804225080720445	387.63663663663664
4.898856324232765	415.2892892892893
4.973565724529732	442.72072072072075
5.025703393802835	470.7277277277277
5.058781169665098	498.2812812812813
5.071815266211572	525.4514514514515
