dId	 Id	 dYmin	 Ymin	 dVratio	 Vratio	 
6	0.0008000287651265499	4.995385453800474	3.722718074647006e-10	1.3683505550865506e-10	0.00018249404355917927	0.9989469999135318
7	0.0008148992976633179	4.995495991386569	3.0141153323726985e-10	-4.017710164561095e-10	0.00021463873229655783	0.9988124292829873
8	0.0007719897523492313	4.995844466359539	3.2669525831948513e-10	4.516234597407021e-10	0.00022727810275165227	0.9987746528007253
9	0.0007979698677212904	4.99582592971908	3.497729852044089e-10	-1.7380867300964554e-10	0.00025658588741270136	0.9986549144437639
10	0.0012634237258790186	4.993219964258965	3.043841552747102e-10	4.932855013350945e-10	0.0004352654489792033	0.9976542856164463
11	0.002109464736812289	4.9772403172640525	3.019823552660132e-10	2.750760119685225e-10	0.0007696943292556681	0.9916543826326185
12	0.004449026231387063	4.895487891348083	3.145331440408245e-10	-4.366728090232641e-10	0.001668421525227708	0.9601616601812366
13	0.007253733498633222	4.592188278731769	2.3188805246096775e-10	1.9918637073068624e-10	0.002596607312051112	0.8450816624109524
14	0.0060123815572181195	3.9461965072630822	3.819871210496635e-10	5.5428807099744404e-11	0.001763128044254431	0.6273751717038104
15	0.0006021784988081907	3.536945245196341	3.0773533405612014e-10	-3.378435564638238e-10	0.0001512321712153879	0.5067057821481228
