G	 dE	 E	 dS	 S	 dm	 m
-0.5	0.0007328460593466085	-12.749548621773304	0.003406868581869911	0.35207115468266403	0.0002889451713837285	0.0004427083333333334
-0.55	0.000906855565230007	-12.908682000396869	0.003306002635069888	0.4104684783053423	0.0003643232598711006	0.0002701822916666666
-0.6	0.001145864917841361	-13.08061263481813	0.0034631567326790917	0.479149202867338	0.00035469449671688997	0.00011393229166666664
-0.65	0.0010461047379412508	-13.26503592956913	0.003916983070796234	0.5445533202086046	0.00040779442939980055	-0.0008056640625
-0.7	0.0015172384381436964	-13.467281255703002	0.0030642906861828322	0.6207659998987386	0.00040700294947824706	-0.0005094401041666666
-0.75	0.0016858762814643026	-13.68742577825916	0.0033205827990673608	0.6863972743058538	0.0005239711590531267	-0.0002636718750000004
-0.8	0.0019334742459184893	-13.919601859943294	0.003441958170186122	0.7681342536327316	0.0005268665807897777	-0.0004606119791666666
-0.8500000000000001	0.0020270920924496663	-14.16831274516627	0.003671045116172586	0.8407709151274685	0.0005383231825998437	-0.0005175781250000001
-0.9	0.0022080966151102033	-14.431026386793246	0.0005937024179984651	2.464424495824568	0.08753007037413438	-0.17814615885416668
-0.95	0.002844309051334436	-14.706290292143558	0.0005554067653328295	2.465173426325421	0.08626161530952539	-0.17612955729166666
-1.0	0.0029608138581032665	-15.001812099934748	0.00041693164909911836	2.4678998523322133	0.08476600330461735	-0.17373046875000003
-1.05	0.0031552759788760092	-15.301498749713849	0.00039243087699120745	2.4689944792840244	0.08335499006816674	-0.1697607421875
-1.1	0.003944547949909509	-15.628971523452638	0.0003719659498449869	2.470867342465033	0.08184140953008291	-0.16803059895833336
-1.15	0.003915012854627903	-15.976711420498921	0.00032933396426441356	2.472068367182689	0.08005475275606119	-0.16338053385416665
-1.2000000000000002	0.003968439007228162	-16.31768499984754	0.0002538632689226711	2.4727741695955214	0.0783963872574197	-0.16143066406250003
-1.25	0.004090954934679839	-16.677699471916263	0.0002476049923487266	2.4729584440764634	0.07660003299468957	-0.1575065104166667
-1.3	0.00495237873649294	-17.065152194202643	0.00020360090361924536	2.4742159303114155	0.07458166674025261	-0.15298502604166664
-1.35	0.004536461581226766	-17.45644902261451	0.00019352081815667354	2.474610392692869	0.07224110879275265	-0.14840494791666664
-1.4	0.0057874166573715	-17.883356915118323	0.0001836228840580005	2.4754187454489793	0.0700666366285734	-0.14374511718750002
-1.4500000000000002	0.006651736307535022	-18.30132875386472	0.0001662240802105566	2.4756032985477634	0.06742902322229151	-0.13933105468749998
