dD	 D	 
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.66332495807108	1.6
1.2688577540449522	2.7
2.1354156504062622	4.2
3.383784863137726	6.5
4.846648326421054	10.1
7.071774883294858	14.7
9.69587541174081	20.3
12.784756548327387	27.5
15.975293424535275	36.3
19.4	46.8
22.801096464863264	59.1
26.0823695242591	72.9
29.3749893617002	88.9
31.816505150628977	106.9
33.82026020006351	126.7
35.62246482207541	148.8
36.5589934215919	173.2
36.76465694114389	199.4
36.23934326115748	228.1
34.97484810546001	258.4
32.97635516548183	290.6
30.28464957697216	324.2
26.69925092582187	359.5
23.10432859877127	395.7
19.01052340152685	433.0
14.766177569025778	470.6
11.571084650973736	508.1
10.47091209016674	546.4
11.781765572273112	583.7
14.835430563350698	620.9
18.914544668059023	657.2
22.79495558232128	692.7
26.1036395929763	727.0
29.25816125459698	759.4
31.503015728656838	790.4
33.4430859820083	819.4
34.09457434842089	846.6
34.67866779448138	871.7
34.478399034757985	894.2
33.29339273789921	914.5
31.562794553081	932.7
29.110135691885738	949.0
26.39696952303427	963.0
23.536354857963882	975.2
19.946177578674067	985.5
16.521501142450703	994.2
13.192801067248759	1001.5
10.0821624664553	1007.5
7.217340230306452	1012.1
5.180733538795447	1015.6
3.31058907144937	1018.2
1.8681541692269406	1019.9
0.9433981132056604	1021.1
0.4	1021.8
0.0	1022.0
0.0	1022.0
0.0	1022.0
0.48989794855663565	1022.6
0.30000000000000004	1022.9
