G	 E	 S	 m
-0.5	-12.749056396494831	2.4244259710105944	0.019405924479166684
-0.55	-12.908535188656025	2.4326383075373395	0.019095052083333335
-0.6	-13.081738775217868	2.4395125618603033	0.01925130208333332
-0.65	-13.268378013468887	2.447795695487018	0.01815755208333333
-0.7	-13.470365140268598	2.4515301115700368	0.01898925781249999
-0.75	-13.689635231769996	2.4551389144264597	0.0189306640625
-0.8	-13.922400740806784	2.4593385632866718	0.017867838541666636
-0.8500000000000001	-14.16989769217157	2.460807233053719	0.017950846354166664
-0.9	-14.43299513792254	2.4649142736986303	-0.017478841145833333
-0.95	-14.711364622203162	2.4660675744261846	-0.017329101562499994
