dNS	 NS	 dE	 E	 
0	50	0.0	-60.0
0	100	0.0	-60.0
0	150	0.0	-60.0
0	200	0.4	-60.2
0	250	0.45825756949558405	-60.3
0	300	0.4898979485566356	-60.4
0	350	0.4898979485566356	-60.6
0	400	0.45825756949558394	-60.7
0	450	0.45825756949558394	-60.7
0	500	0.3	-60.9
0	550	0.5	-60.5
0	600	0.4898979485566356	-60.6
0	650	0.4898979485566356	-60.6
0	700	0.4898979485566356	-60.4
0	750	0.4898979485566356	-60.6
0	800	0.4898979485566356	-60.6
0	850	0.4898979485566356	-60.6
0	900	0.4898979485566356	-60.6
0	950	0.4	-60.8
0	1000	0.45825756949558394	-60.7
