G	 dE	 E	 dS	 S	 dm	 m 	dKb 	 Kb	 dI 	I
-0.5	0.022547321693060087	-21.242841167808002	0.0	1.0	0.09444001893552478	-0.08023730468749997	971.0097007854781	208.81833199256158	0.004015759182118008	1.0075586327595232
-0.55	0.0015057611392731618	-21.53675831072321	0.0	1.0	0.09443638776021954	-0.08668554687499996	1070.0006952263545	204.14349445865116	0.004132957348873957	1.0238691993727485
-0.6	0.0013811567597521131	-21.839847442101	0.0	1.0	0.09409273338212101	-0.077236328125	1414.8665135307215	-0.9638412137119733	0.0045257202026481435	1.0270955981797973
-0.65	0.0012981368146640208	-22.172000619124255	0.0	1.0	0.09202195228078296	-0.07307910156250003	2055.179297355521	218.57881382507549	0.0039727555205924464	1.043550555709342
-0.7	0.0013842113154173012	-22.53301620810704	0.0	1.0	0.09057281840674476	-0.07129980468750001	2763.250323106191	366.8644431557983	0.0049567718451966085	1.065623866136708
-0.75	0.0005480724688969237	-22.925296664157027	0.0	1.0	0.08728700316406693	-0.11688867187500002	3800.6723756666115	449.79807533780706	0.004462898682594838	1.083429737335075
-0.8	0.00059671248304628	-23.353677824127868	0.0	1.0	0.08446326529915625	-0.11143066406249998	5124.934017708348	459.88027204868837	0.00499609058623547	1.1253139360580062
-0.85	0.0005376863074030844	-23.81519885971099	0.0	1.0	0.08132156154705703	-0.09933203125000006	6961.278225074439	-2.9562019506220327	0.0052005136111377675	1.174295568696631
-0.9	0.0008047561274943996	-24.3144703041263	0.0	1.0	0.07675204566807678	-0.08924707031249998	10233.142794251213	460.6645396400877	0.006325849087913581	1.2580819938343368
-0.95	0.0008955079920000584	-24.860540698404474	0.0	1.0	0.07077221832326867	-0.07081738281250004	14791.685076855798	467.30340491840786	0.007813690757295261	1.3778142550669923
-1.0	0.0017354245085503968	-25.464330487081796	0.0	1.0	0.04274479384996066	-0.02815234375000001	23970.721358096827	-5.926037465001272	0.015311256170326129	1.7106410602155486
-1.05	0.0008047546957170061	-26.14404843052037	0.0	1.0	0.008049281366033074	0.013061523437500002	32743.147420912715	-7.158861509521348	0.018298082575718442	2.199752785922206
-1.1	0.0008175136510236538	-26.860439814709558	0.0	1.0	0.006092847222384156	-0.0055556640624999975	39501.6309610949	-7.9540580348575	0.026367715800091125	2.7176809170339276
-1.15	0.0007577831197214523	-27.60889040734692	0.0	1.0	0.004678047288594481	-0.0008476562499999973	44709.17176846107	267.4873597491221	0.035887903601503464	3.340447742859199
-1.2	0.0007969838950454613	-28.38922848308756	0.0	1.0	0.00447365643135103	-0.004569335937499998	49739.47154091167	57.61429526836989	0.043612734361658564	4.007392611050633
-1.25	0.0008498839171590637	-29.189586300387717	0.0	1.0	0.0034538710175835334	-0.006480468750000001	54802.22040015701	-8.90316047328559	0.061612735659261265	4.755606309093339
-1.3	0.0007199196160252914	-30.01171440265442	0.0	1.0	0.003186550995417918	-0.0013457031250000008	58012.76427540496	-8.940196973857313	0.05834712266586391	5.264286154621471
-1.35	0.0008231916740510578	-30.849893736398528	0.0	1.0	0.0025372268379395334	0.0003027343749999998	61418.04474896059	12.141427795359455	0.06665420547812702	5.877893486824494
-1.4	0.0006524162882505242	-31.699739612102483	0.0	1.0	0.0027881418558315394	0.0010722656249999999	64763.56014581158	12.670780264832468	0.061982095725777356	6.4118393060278915
-1.45	0.0006564707054289321	-32.562325442529435	0.0	1.0	0.0020542068928873763	0.0032587890624999998	67075.45867606069	-9.142816544669067	0.07390704135189163	6.595221894814976
