G	 dE	 E	 dS	 S	 dm	 m 	dKb 	 Kb	 dI 	I
-0.5	0.00045555262148649564	-12.759094762958924	0.0	1.0	0.09396593210192698	0.012635091145833348	226.91178651132233	-0.21990863762713853	0.0035863681745497444	1.0054850833915325
-0.55	0.0003413842915288038	-12.9240380418025	0.0	1.0	0.09302082873846701	0.0084033203125	272.0185413867094	-0.31467691949799576	0.004418836125129831	1.010418199892544
-0.6	0.00040456568894778664	-13.105282592447834	0.0	1.0	0.09182996337690749	0.003263346354166684	344.99806769602867	-0.4365889322051829	0.00437636873474067	1.0047990985427488
-0.65	0.0003599295005410152	-13.303271306061786	0.0	1.0	0.09048076388364694	-0.009698893229166694	455.3462230840933	-0.4833045366414219	0.003784333338562769	1.0136597660013313
-0.7	0.00032851159994632236	-13.520574847213714	0.0	1.0	0.08843253239675034	-0.012565104166666683	594.2012512072927	-0.5799268010471912	0.003970831025468713	1.0127309976336676
-0.75	0.0005059429243672424	-13.755062273708631	0.0	1.0	0.08449589124417642	0.03932942708333334	739.1433893961092	-0.7994521687272613	0.00449473661480927	1.0175494815205868
-0.8	0.0005146822342708926	-14.013504449221037	0.0	1.0	0.08161402174742843	0.04556803385416667	904.3769524415244	-1.1081088023234562	0.004555074294077149	1.0218703470114567
-0.85	0.0006892389330237142	-14.290729380475682	0.0	1.0	0.07851214085968664	0.007189127604166667	1196.4945693391717	-1.4995580152274688	0.004074564182616909	1.0306423921663297
-0.9	0.0008998842703343222	-14.593808488814318	0.0	1.0	0.07140887534993531	0.02124186197916667	1371.7668701328603	-1.895076544299385	0.004508785761691268	1.0401516166539986
-0.95	0.0014737868601697273	-14.942317747022692	0.0	1.0	0.03238791485755528	0.005838216145833345	1630.9612020106752	468.4519707137681	0.005071508791055974	1.0734638771604366
-1.0	0.0014676246958821011	-15.312517462229726	0.0	1.0	0.016713787126586208	0.01092936197916667	1688.582315932243	-2.6413341388102203	0.004292156363450825	1.0861986874721759
-1.05	0.0009008401401246592	-15.713314944182287	0.0	1.0	0.008786037461369491	0.003002929687499999	1686.6746902051461	-2.9412909753307463	0.005110309873046068	1.1124515879218235
-1.1	0.0009188493118980129	-16.13618655439662	0.0	1.0	0.007672983193538522	0.003535156249999999	1680.8335071594647	-3.374247511181352	0.005668492524841901	1.1315588147979994
-1.15	0.0007518940310679383	-16.581645828613187	0.0	1.0	0.005627278598757375	0.005878906250000002	1622.7201386335976	-3.8211362380729033	0.005690129485730949	1.146738914578014
-1.2	0.0007391828986954261	-17.04384933574295	0.0	1.0	0.0047348114808457254	0.0026139322916666646	1604.1821372129534	823.0526312246755	0.006250285524456585	1.1581811278302185
-1.25	0.0008357965277656365	-17.519709892194932	0.0	1.0	0.00461862344174113	0.008126627604166669	1558.720512161485	-4.534970374007228	0.005483023382586524	1.1888788606855043
-1.3	0.001044811250329424	-18.010089669894242	0.0	1.0	0.004339488316602328	-0.0002701822916666655	1509.416575712181	-4.803681256339275	0.005735519045816777	1.1968733397364006
-1.35	0.0009718450641224679	-18.511310473205082	0.0	1.0	0.0032072181703976673	-0.0021728515625	1470.3532339768576	-5.040525401731515	0.0060545537270527035	1.2248532631496905
-1.4	0.0008265017223573196	-19.02089105358709	0.0	1.0	0.0032466459818291426	-0.0007259114583333339	1455.1420860749545	-5.271032993862802	0.006114027503754896	1.235177774837725
-1.45	0.0009048145150865458	-19.536167349442717	0.0	1.0	0.002681877677104389	0.0005257161458333331	1412.2364161489863	821.7403094557243	0.0076844740603469715	1.247453876884391
