dD	 D	 
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.00014143549766476536	1.0002000400080016
0.0002449652987630681	1.0004000800160031
0.000774493274291761	1.002000400080016
0.001535586706433559	1.0054010802160431
0.0032220564462670555	1.01500300060012
0.007983302588820636	1.0482096419283857
0.017435104050060365	1.1280256051210242
0.03265833584493553	1.2956591318263653
0.0592186577766116	1.643128625725145
0.10152190745792294	2.334466893378676
0.1676347845545485	3.650130026005201
0.26787325371876747	6.063212642528506
0.4099959007172036	10.13242648529706
0.6073095503332048	16.71774354870974
0.8724733180581289	26.994798959791957
1.2201056380288335	42.51030206041208
1.6544476860843422	64.78035607121424
2.1841933886562117	95.65893178635727
2.8096456495963844	137.1622324464893
3.531196177428305	191.35887177435487
4.341128268930992	260.05261052210443
5.217449666972984	344.16723344668935
6.147248357832514	444.9753950790158
7.107186806523751	562.9627925585118
8.075979132602265	698.4478895779156
9.024076061167719	850.1626325265053
9.928501082457874	1017.2036407281456
10.763448379172308	1197.1582316463293
11.508856707544437	1388.001200240048
12.15257030187058	1587.1690338067613
12.68143701354268	1791.6741348269654
13.091041896869056	1998.8421684336868
13.380707906948935	2205.7653530706143
13.552986718142568	2409.913382676535
13.613441465947398	2608.489697939588
13.572814714557747	2800.204840968194
13.44038832965654	2983.6911382276458
13.226571151794918	3157.6399279855973
12.942825801735717	3321.880776155231
12.601451550957902	3475.392078415683
12.211144572029852	3618.5955191038206
11.782606274497219	3751.47849569914
11.323776582065024	3874.111222244449
10.841659242967735	3987.262852570514
10.344966411637076	4091.404680936187
9.837593519617846	4186.698139627925
9.325796254484587	4273.855371074214
8.81283894069479	4353.420884176835
8.307514792298743	4425.560912182436
7.806728413498693	4491.1106221244245
7.316207088947585	4550.49949989998
6.8353279210359545	4604.3374674934985
6.366510516288647	4652.681736347269
5.9115944863297365	4696.19523904781
5.472375283828483	4735.335467093419
5.049729029588397	4770.065813162632
4.646089592605418	4800.931186237248
4.260857779101809	4828.319463892779
3.8914818727210903	4852.694338867774
3.540432794830793	4874.1652330466095
3.210560519418363	4892.828565713143
2.8967939722389398	4909.200840168033
2.6026785157602115	4923.4650930186035
2.3301701643238637	4935.66373274655
2.0770331978120553	4946.222044408882
1.8458196771216553	4955.219643928785
1.6407342782362802	4962.808561712342
1.4578792323966114	4969.272854570914
1.2987506458266447	4974.676335267053
1.1696528601052105	4979.0572114422885
1.0645412706069162	4982.68473694739
0.9812158350834803	4985.596719343869
0.9165089688803378	4987.973194638927
0.8666042232631509	4989.855371074214
