dD	 D	 
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0003161265569356678	1.0008
0.0004239622624715553	1.0016
0.0006919855489820578	1.0034
0.0012784850409762328	1.0074
0.002110991236362671	1.0154
0.003366184189850579	1.0298
0.00585346085662149	1.0614
0.009113611578293207	1.1078
0.014669156621973876	1.1938
0.022394442078337202	1.3342
0.032835797538661976	1.552
0.0485135837060096	1.9014
0.06954502587532771	2.4376
0.09937058218607758	3.2586
0.1382966261916754	4.4572
0.1878957596009021	6.1218
0.2542571080147023	8.5532
0.33751308665591023	11.8844
0.44143749716126296	16.419
0.568524109546816	22.4808
0.7222246284114106	30.4546
0.905254436489543	40.8096
1.1214663434200778	54.0024
1.3750498138409386	70.6884
1.6630052016226526	91.3124
1.9898753600353967	116.4218
2.3563539431723752	146.8136
2.7607486947681417	182.9844
3.2020414908935835	225.8186
3.6782826655791423	275.761
4.186889245021416	333.3882
4.720957223271992	398.8006
5.276906892667712	472.5454
5.849840551302574	554.9844
6.4294916344230515	646.0378
7.014248856690501	746.1696
7.58991793384856	854.3962
8.150462331426112	970.8502
8.691345369366012	1095.052
9.204161630523227	1226.5198
9.680772116416334	1364.2504
10.117881594015815	1507.6926
10.503694976277822	1655.9646
10.837964641886593	1808.1096
11.115645017914344	1962.5846
11.33258658664914	2118.931
11.491709686712243	2276.1482
11.591099201439008	2432.732
11.629894290559823	2588.2398
11.610920900251624	2741.559
11.535770690331184	2891.7936
11.406682202690842	3038.7104
11.227210856676916	3180.9654
11.001783903566002	3318.0894
10.733489437224225	3449.8886
10.430189823653068	3575.8742
10.096229682805557	3695.6006
9.735422408610527	3808.9618
9.352318384837847	3915.5932
8.951477930660388	4015.687
8.537363794442403	4109.3688
8.117206507715323	4196.2848
7.690231900996224	4276.833
7.26547765674109	4351.1086
6.841047242199107	4419.49
6.425159342083588	4482.0094
6.017926496593324	4538.904
5.622107720717915	4590.7262
5.237263515416807	4637.8422
4.8707012476114775	4680.0746
4.519305442522778	4718.1928
4.185118001356234	4752.2918
3.867577731746319	4782.883
3.568091085895089	4810.1234
3.286184908486435	4834.3106
3.021719896776668	4855.7868
2.7758881694124495	4874.6054
2.54540458184863	4891.3052
2.329912993311124	4905.994
2.1289803433935224	4918.8962
1.9431819613726347	4930.1614
