G	 dE	 E	 dS	 S	 dm	 m
-0.5	0.008196298439644869	-20.923830255100874	0.01509206746567296	0.5967631226791557	0.023952668247235197	-0.017753906249999993
-0.55	0.009211457394002334	-21.131737936665303	0.01699256112448053	0.7149136708225395	0.020468168340673963	-0.012578124999999997
-0.6	0.008697778045642306	-21.36363000950462	0.015994604881823894	0.8870171550078204	0.019552900814986132	0.0007294921875000025
-0.65	0.007845883052885508	-21.65760701694943	0.01898488847451337	1.1094507430697624	0.021051512435981534	0.02384765625
-0.7	0.00760627649648145	-21.969898805180282	0.013652869948465448	1.3825301441665665	0.0170409943913281	-0.005490234374999998
-0.75	0.007183436447399943	-22.358898374422566	0.012431843988707553	1.6951593079634966	0.012801720335210992	-0.005904296874999999
-0.8	0.005023604191154106	-22.83235091124537	0.007693324863323735	2.0005500724265834	0.011444220737711109	-0.009250000000000001
-0.85	0.00463253648714653	-23.354590219466132	0.0050762792746030325	2.227011278078397	0.007682243296601344	-0.0011933593749999993
-0.9	0.003679889769575572	-23.958536802907723	0.003388044711823453	2.383516469469024	0.006353097333721183	-0.007163085937500003
-0.95	0.0030458774088753747	-24.609942761328288	0.002705887808282907	2.4811168120984552	0.004987475635593342	0.008701171875
-1.0	0.002587005594660426	-25.303249791041786	0.002281059592608782	2.555858093465448	0.005011206179755761	0.0060048828125
-1.05	0.0022306292087313777	-26.022222393273264	0.0021259309849762727	2.618262590347308	0.003748017525848727	-0.0040400390625
-1.1	0.001926267797134779	-26.777998814148933	0.001656397881306269	2.659735689252301	0.0036471849586021026	0.002525390625
-1.15	0.0017291757434621878	-27.545922805224013	0.0014967841738833675	2.70382422787679	0.0031999085815603576	-0.0017138671874999988
-1.2	0.0014046226082943128	-28.34611833935742	0.0014725138479094332	2.731453795691304	0.0031422027405417123	-0.0025966796874999976
-1.25	0.00153072342336111	-29.156222711821723	0.0011198139027886692	2.759147519868738	0.0027283368459906907	-0.0006210937500000008
-1.3	0.0012936320859295858	-29.986562239904103	0.0009891410967603012	2.7842970944396925	0.002563871479997073	-0.00021875000000000033
-1.35	0.0012174169308979599	-30.828147412395083	0.0008889599150800904	2.8010859224427356	0.0021964090583014247	-0.0016865234374999997
-1.4	0.0011082013804406643	-31.685880718111196	0.0008901642862802122	2.8143319703003673	0.002099822070894554	0.0010458984375000004
-1.45	0.001030335329341743	-32.55041560985461	0.0008677345998219033	2.8322799220867387	0.0021510463098163386	-0.0018251953124999996

