dS	 S	 dE	 E	 dId	 Id	 
0.003089856249584217	0.40469372323837305	0.00013120431223909848	-17.01667883080199	0.00400326386589755	1.0012633872072825
0.0031553648226279657	0.49346843543825136	6.763636278118618e-05	-17.2346579033361	0.00439774857558037	1.0092528461912103
0.0037698638368492037	0.5719306657028753	0.0002013070785532503	-17.475633218371513	0.004495042183463556	1.0205893133951802
0.0035997336191845954	0.6832346528830732	0.00010127910319341501	-17.74017103280356	0.004071176030828568	1.021283069387905
0.00415564708513669	0.7929934483998144	9.26634740324581e-05	-18.029245371712655	0.003675389605873508	1.0370566042151397
0.004418304642437271	0.9097392263511291	0.00016586280197852912	-18.343281913553984	0.00546190952046959	1.0539426088584067
0.004488216076812496	1.0399267657727649	8.934398638085261e-05	-18.68480943790529	0.0050728281912791546	1.0589935167738316
0.005359040988208453	1.2011596419531354	0.000116054320796016	-19.054878576479243	0.004400292959605577	1.0914780309242307
0.007049728325483724	1.4582427880178874	0.0005189640265301102	-19.465722103543	0.005317432120235778	1.1522948666713426
0.006118763467106288	1.7199029817755933	0.0003316341078482081	-19.914383521363934	0.00698188151569838	1.2371909400330612
0.005293206059489272	1.937581205028832	0.0005393610315420482	-20.40229889184478	0.007447828667770939	1.3465985770478743
0.004134454946729141	2.138071839038294	0.0003816691147394064	-20.93471983671709	0.008846387392693406	1.5005451029644106
0.0038713686556447148	2.274775302755232	0.0003297503841147871	-21.50074392446119	0.011157431923781292	1.651518722453378
0.0024530113992379714	2.375518110553401	0.0002709548320450956	-22.09821318197372	0.010912640505959578	1.8164747117564064
0.002185663865005594	2.4433515402340746	0.00025245777528281693	-22.718856762501797	0.015475083428386277	2.00868855010563
0.001924238871241012	2.4941355605032687	0.0003523453883394538	-23.358131947891053	0.01927332327887431	2.220702684192496
0.0016378963320127587	2.5329658968691136	0.0002776923553993295	-24.014012949844297	0.022547238404664518	2.465358958896679
0.001290701670821337	2.558941387870351	0.0002446276900254867	-24.682994971741085	0.024239460372921087	2.5999159620894163
0.001099749917863629	2.580777544726659	0.00021644137341248404	-25.363486176774067	0.024753571182657887	2.840409535263907
0.0010495512373557814	2.5991888296464754	0.0001800641647340028	-26.052691229698812	0.0288828066842102	3.028489597404523
