E_exact 	 dE	 E	S_exact	 dS	 S	 dKb	 Kb 	dKbs 	Kbs
-10.635604409347962	0.004339624617990862	 5.636285944560864	 0.38257651443057017 	 0.0001540159067321612	 1.8482120449477046	 0.004612800640761745	 0.12654960849714356	 0.0006549166868574768	1.437952072935514 
-10.635604409347962	0.002813023846302897	 3.9110919060791547	 0.38257651443057017 	 0.00021159947942682347	 1.8094765670895685	 0.008575771788708273	 0.7107191807833988	 0.0007849512724098603	1.323893551674489 
-10.635604409347962	0.0031942918226909194	 2.772831851529591	 0.38257651443057017 	 0.0004432845944925747	 1.7200134529972233	 0.008616218537394959	 1.5274219773330118	 0.0011208421340116147	1.1308754141515365 
-10.635604409347962	0.0024074046539084297	 2.0772398881147858	 0.38257651443057017 	 0.0005736359325274279	 1.6090582867136491	 0.006448177637579136	 1.576285341388409	 0.0012947320547512236	0.9429525097373226 
-10.635604409347962	0.002214423310979023	 1.6158869710575363	 0.38257651443057017 	 0.0007914611417206319	 1.4861994781970955	 0.004223266462994305	 1.4078117021305452	 0.0014376024475016415	0.7498733032695228 
-10.635604409347962	0.002350744473334633	 1.259574044198498	 0.38257651443057017 	 0.0011650327316143118	 1.3436708324728277	 0.003410380487951015	 1.1084818750087633	 0.001651192659457376	0.5890590141647823 
-10.635604409347962	0.0021575053591123446	 0.9135095677455833	 0.38257651443057017 	 0.0015354948555821855	 1.1402340297318505	 0.002646604179287939	 0.7460201379907926	 0.0017499778668532515	0.4004744582316305 
-10.635604409347962	0.0020381285279921176	 0.7101296517587379	 0.38257651443057017 	 0.0017602044237933665	 0.9900042135761928	 0.0021283541999012365	 0.5520222544583558	 0.00178851622026793	0.3069411365757626 
-10.635604409347962	0.001945543773078744	 0.5405684585580328	 0.38257651443057017 	 0.002064893063079892	 0.8238582341061231	 0.0017760986136548845	 0.4010137664609681	 0.001749360481984334	0.22105617011053147 
-10.635604409347962	0.0016325386910258249	 0.3916343259527153	 0.38257651443057017 	 0.002124394453079438	 0.6498707533837182	 0.0013566378057690526	 0.269427835071168	 0.0015703686271588478	0.15380084662404803 
-10.635604409347962	0.001466601392322397	 0.3011821893009863	 0.38257651443057017 	 0.0020178384726023853	 0.5186093808875606	 0.0011266308610382017	 0.2019449566782656	 0.0013682995605315592	0.11396133277310327 
-10.635604409347962	0.0014864532980184478	 0.2044430284742873	 0.38257651443057017 	 0.002408660050656915	 0.3521645163569641	 0.0011875813996743544	 0.1261997943135167	 0.0015034013451647465	0.07696079284395557 
-10.635604409347962	0.0010646751895850713	 0.16398193198335242	 0.38257651443057017 	 0.002043920620880221	 0.2806956222799071	 0.0009931572876270217	 0.09643013579298898	 0.0012046576392611924	0.06337813999583841 
-10.635604409347962	0.0012385372835942644	 0.14452199669402432	 0.38257651443057017 	 0.00209693370189665	 0.2342496397945304	 0.0009526178477035923	 0.07187978067908145	 0.0011903572949140033	0.05664770988785561 
-10.635604409347962	0.0011090829867212609	 0.12438551636044437	 0.38257651443057017 	 0.001984514225481798	 0.1923792641608416	 0.0008983532059198006	 0.057103715264222386	 0.0011235154144743121	0.052803460505236655 
-10.635604409347962	0.0013334900225003702	 0.11351593535930249	 0.38257651443057017 	 0.002119116114747775	 0.1051541899392131	 0.0008211885677674129	 0.02808842583841313	 0.0011439837021967412	0.04336792268670353 
-10.635604409347962	0.001213813111980173	 0.12032670823623981	 0.38257651443057017 	 0.0024907662526570395	 0.11716014663218227	 0.0011076801689522862	 0.03626956286644627	 0.0013602623049191773	0.04481106017246578 
-10.635604409347962	0.0011062124377453969	 0.135365732443546	 0.38257651443057017 	 0.002065329476452006	 0.1366304730445883	 0.0009315795314002055	 0.03989059598863289	 0.0010798758507098729	0.045554126584407384 
-10.635604409347962	0.0011536017039467023	 0.12609051547749317	 0.38257651443057017 	 0.0020307925191565407	 0.08742318350731437	 0.0008503616768308117	 0.021562638483632712	 0.0010486084770032166	0.04528261073836448 
-10.635604409347962	0.0011000091581179568	 0.11777008779962372	 0.38257651443057017 	 0.002069512225804176	 0.07681466578759133	 0.0008198638290144534	 0.012809396704495853	 0.001094403674431051	0.04961439007700008 
-10.635604409347962	0.0012357526591600834	 0.13923246871096318	 0.38257651443057017 	 0.002272274293037056	 0.07900271264357889	 0.0010435333502188903	 0.017415602756703327	 0.00119044066731389	0.04298908994498102 
-10.635604409347962	0.0011630493421212799	 0.1223143044278352	 0.38257651443057017 	 0.0020169908364852883	 0.058894843253679774	 0.0008119522893327382	 0.010933758544282064	 0.0010407612558178782	0.04938698554908516 
