G	 dE	 E	 dS	 S	 Kb
-0.5	0	-25.52506584546041	0.00038690963233799057	0.478861534597304	-2.804691155008568
-0.55	0	-25.85227160130233	0.00037636878319392765	0.5726057353562776	-3.2017254385197003
-0.6	0	-26.21372645622667	0.0008040023089131186	0.684037750191286	-3.6377660297586396
-0.65	0	-26.61050013505151	0.00033821845205029503	0.7861297662977306	-4.117674376117246
-0.7	0	-27.043904480429433	0.001695428376566426	0.9428605612577663	-4.64862802315456
-0.75	0	-27.515594639928832	0.0005752771935799641	1.058691238503808	-5.242014178886778
-0.8	0	-28.02777616383614	0.0005450750105422737	1.221180872138863	-5.9179805249164
-0.8500000000000001	0	-28.58366637617231	0.00032096655427860197	1.3919937721006244	-6.715434716825021
-0.9	0	-29.188451659848177	0.00020790916950769043	1.6229375056791546	-7.705644862527455
-0.95	0	-29.850493328712016	0.00012805210933218924	1.9220106184313386	-8.967249756904033
-1.0	0	-30.579576597357075	0.0001244253363878651	2.2534772435730437	-10.413710877377865
-1.05	0	-31.377807003037752	9.498602764528606e-05	2.528831673549048	-11.69572058341786
-1.1	0	-32.23469121583638	6.0358787014587046e-05	2.701414029064996	-12.61057190338238
-1.15	0	-33.136233263452674	3.804056663047746e-05	2.8023045429987907	-13.234824767674176
-1.2000000000000002	0	-34.07189783006949	3.190436015150322e-05	2.8661320474356877	-13.683790390235883
-1.25	0	-35.03472020479492	2.928027346519581e-05	2.9123102140875337	-14.027280173817287
-1.3	0	-36.01994432065818	2.093968029736067e-05	2.945667274283153	-14.302255012021137
-1.35	0	-37.024108231682526	1.987237788597587e-05	2.972054344878864	-14.529177136295072
-1.4	0	-38.04455595250167	1.7787767487508907e-05	2.9936040021272303	-14.720399030494654
-1.4500000000000002	0	-39.079173856152025	1.6420331194593813e-05	3.0111465450629953	-14.884007675964313
