G	 dE	 E	 dS	 S	 dm	 m
-0.5	0	-17.01671249634739	0.00021454260390086616	0.43184038496702654	0.0016679270099130162	0.00688232421875
-0.55	0	-17.234856314097545	0.0006744545246376881	0.5292424816900406	0.001961143256015743	-0.0034432220458984375
-0.6	0	-17.475850731692677	0.0003029717990648962	0.6160042562430735	0.0017901929912463995	0.032822341918945314
-0.65	0	-17.74044640416284	0.00035270891841266116	0.7184168275547697	0.001834261012478295	0.0151263427734375
-0.7	0	-18.029615219954497	0.0004080628529338517	0.8324685731249762	0.001751113000905837	0.001185760498046875
-0.75	0	-18.34468248450318	0.0003624045740401443	0.9517712928672126	0.0014790064299881815	-0.013530807495117187
-0.8	0	-18.68754847393485	0.00018454946132836475	1.084209483632966	0.0009777273503291837	0.0046138763427734375
-0.8500000000000001	0	-19.060993343662712	0.00020284728578285358	1.2555702469292767	0.0008595111665724497	-0.0083355712890625
-0.9	0	-19.46888443283331	0.00013402259822801985	1.4604780190214053	0.0005822261951643264	0.0033910369873046877
-0.95	0	-19.91569573129911	0.00011131791381184251	1.6946008992164363	0.00039508911536947504	-0.006401519775390625
-1.0	0	-20.404594474756678	0.00010202590657259057	1.9300750990249	0.00024035820718421174	-0.0005825042724609375
-1.05	0	-20.93490998011277	8.7031372283855e-05	2.128395179101744	0.00017981009380018276	0.0055799102783203125
-1.1	0	-21.501811963865418	8.055382059739728e-05	2.2767892983976603	0.0001390734437712999	-0.00263763427734375
-1.15	0	-22.09869240957157	5.516777385311687e-05	2.3765493876100097	0.00011838419522769227	0.002130126953125
-1.2000000000000002	0	-22.719476846659017	4.3682863531182764e-05	2.44786798711047	9.927227699204411e-05	0.0003597259521484375
-1.25	0	-23.35943559241855	3.536667708356397e-05	2.4990000365767226	8.2242619947568e-05	-0.0008123016357421875
-1.3	0	-24.015075758452987	3.264026981463708e-05	2.5363233409363786	6.888092190072854e-05	-0.000526580810546875
-1.35	0	-24.683813096894056	2.928918665676371e-05	2.564168153635834	6.49322041540876e-05	-0.0009148406982421875
-1.4	0	-25.363690516582167	2.6597187556286297e-05	2.5866189434099254	5.933500394314899e-05	-0.00199127197265625
-1.4500000000000002	0	-26.05318361331969	2.27643489205164e-05	2.605046402526238	5.810642141866105e-05	0.00055023193359375
