dD	 D	 
0.0014142114353836745	1.002002002002002
0.002444567407061931	1.006006006006006
0.0028198992264616635	1.008008008008008
0.003149560197717858	1.01001001001001
0.003446680023242354	1.012012012012012
0.003446680023242354	1.012012012012012
0.003719066129837858	1.014014014014014
0.004643125152229139	1.022022022022022
0.004844619761586196	1.024024024024024
0.00606433989509252	1.0360360360360361
0.007292969402038963	1.054054054054054
0.008423339311013333	1.072072072072072
0.009451652410451724	1.0940940940940942
0.010761835530077318	1.12012012012012
0.012462804607586773	1.1581581581581581
0.015541231136807573	1.2302302302302301
0.01838949445571206	1.3203203203203204
0.02110685105439255	1.3943943943943944
0.024060235841326858	1.4964964964964964
0.028231483484333873	1.6426426426426426
0.03300157641560037	1.8208208208208208
0.039112257904380186	2.091091091091091
0.046215313047198184	2.4354354354354353
0.05367779126221431	2.803803803803804
0.06121867311846171	3.264264264264264
0.07356902181708588	3.9029029029029028
0.08693914294518214	4.685685685685685
0.10244422376584651	5.5625625625625625
0.11764398333090202	6.5575575575575575
0.13499996412664947	7.798798798798799
0.15500250085891362	9.276276276276276
0.17925526767083505	10.923923923923924
0.2068051130946967	12.943943943943944
0.23870236609480408	15.324324324324325
0.270887126752443	18.043043043043042
0.30404074248263124	21.004004004004003
0.33955133272103405	24.57157157157157
0.3796968167539873	28.705705705705707
0.42431974237551673	33.52052052052052
0.46717937148807537	38.63963963963964
0.5164663983998804	44.73973973973974
0.5657611608589102	51.56256256256256
0.6193863202449	59.074074074074076
0.6720543285644562	67.21421421421421
0.7255717346961621	76.28128128128128
0.7766922979065495	85.93693693693693
0.827944348215014	96.8038038038038
0.8766407303919518	108.18518518518519
0.9148566708141652	120.48948948948949
0.9546823943481051	133.63863863863864
0.9921487849820453	147.96096096096096
1.020245082529729	162.91791791791792
1.0351279496847379	178.32732732732734
1.0428487431022777	194.7197197197197
1.048811077895979	211.9149149149149
1.0443561117339062	229.77277277277278
1.024996156363983	248.41741741741743
1.0051527416848545	267.14014014014015
0.9650458805909673	286.54354354354354
0.9197542795804559	306.25725725725727
0.8669404762509966	326.74174174174175
0.8045750939904271	347.52652652652654
0.7340288572211647	368.6856856856857
0.6608308122597688	390.1631631631632
0.5807767517199797	411.85285285285283
0.5143966701443234	433.7807807807808
0.458164085732712	455.9089089089089
0.4095897657474492	477.5365365365365
0.4031368981878051	499.37637637637636
0.4224124592608408	521.1281281281281
0.4637001365229498	542.997997997998
0.5239266266448875	565.1721721721722
0.5943228800504122	586.9799799799799
0.6662654393121922	608.4134134134134
0.74017349681924	630.2672672672672
0.8100550349003534	651.2502502502502
0.8762811255499121	672.3653653653654
0.9348079701732013	692.8698698698698
0.9794535644051497	713.1201201201201
1.021844360083855	732.6056056056057
1.0359246591096751	751.5325325325325
1.0562936004531693	770.035035035035
1.0648876985900342	788.0450450450451
1.0652884195687058	805.1521521521521
1.0485811259341766	821.918918918919
1.028464751497943	837.5665665665666
1.0084698062079303	852.1211211211212
0.977469124979731	865.9289289289289
0.9494298751955803	879.0940940940941
0.9050100038180542	891.4004004004004
0.8562550480651555	902.9299299299299
0.8028421660630134	913.6506506506506
0.7472373642309629	923.4844844844845
0.6915946073182002	932.6216216216217
0.6340560507931793	941.024024024024
0.5785239182929509	948.5295295295296
0.5293216924499823	955.0680680680681
0.4797269302417289	961.0460460460461
0.4305691901406818	966.3973973973974
0.3846457504652107	971.0860860860861
0.340197401118973	975.3243243243244
0.3009725931752039	979.024024024024
0.26417246256650695	982.2312312312313
0.23397005746923064	984.8678678678679
0.20336056286898674	987.2742742742743
0.17495425452719623	989.3103103103103
0.15382693265849276	990.975975975976
0.13283760222865248	992.4434434434435
0.11573439930976304	993.6486486486486
0.0988245799570357	994.6816816816817
0.08458096929234223	995.6006006006006
0.07325721646910789	996.2432432432432
0.062040822428469825	996.8138138138138
0.05205525065567221	997.3343343343344
0.04566514713824745	997.6806806806807
0.04025252710872158	997.936936936937
0.03522799046416791	998.1431431431431
0.030356511488268227	998.3513513513514
0.025158676012304367	998.5075075075075
0.020381092242852464	998.6456456456457
0.01782307586899235	998.7297297297297
0.015323567828433318	998.7957957957958
0.01229793739722743	998.8618618618618
0.010960293052992655	998.8898898898899
0.00945769929597783	998.9179179179179
0.008017521385680407	998.9379379379379
0.007069780441503719	998.9539539539539
0.00608679192990321	998.967967967968
0.00465218912815291	998.9799799799799
0.004216548889023612	998.983983983984
0.003149560197717858	998.98998998999
0.003149560197717858	998.98998998999
0.0024445674070619314	998.993993993994
0.0019979899699097054	998.9959959959959
0.0014142114353836745	998.997997997998
0.0014142114353836745	998.997997997998
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
0.0	999.0
