G	 dE	 E	 dS	 S	 dm	 m
-0.5	0.00030142781190782537	-12.760846157542785	0.003215004765113441	0.37666916576358217	0.006437539085096695	-0.005908203125000002
-0.55	0.00026969908016561984	-12.92479616377586	0.0037483187754946746	0.46034240825397404	0.007815083828367543	-0.0044140625
-0.6	0.00024368045004383764	-13.106042617064977	0.003668703704152456	0.5333681597086168	0.004505336337760918	-0.004344075520833337
-0.65	0.000235023683713059	-13.304148417135247	0.0038041479562445123	0.6316944920036857	0.004733572508249477	0.006977539062499999
-0.7	0.0003367666770898594	-13.52086929836527	0.004599717565553408	0.7241521560874888	0.0058780028512636345	0.010507812500000002
-0.75	0.0004228006399543549	-13.756145077718447	0.004535999044922654	0.8358921167322398	0.005817257507669842	-0.0028694661458333348
-0.8	0.0004260665049463042	-14.01283199782286	0.005993393554431007	0.9583279103023814	0.00693650730389026	0.009318033854166664
-0.85	0.0006823649792269215	-14.289741617979384	0.005521116619578643	1.091767914858131	0.007221268097705865	-0.014241536458333337
-0.9	0.0012551631288949625	-14.596375675942367	0.007466345987326771	1.2775804488050622	0.007942195239561436	-0.015115559895833328
-0.95	0.0012658673767513122	-14.945057845473789	0.006835244892550293	1.5274109044099475	0.012234960249447509	-0.016818033854166668
-1.0	0.0012555607695825598	-15.314802899224585	0.010886032476821784	1.7224718258276868	0.015931292054100994	-0.006770833333333332
-1.05	0.0011261133764231802	-15.71294947259702	0.004550575996588448	1.861395488375351	0.008476845730582714	-0.005812174479166665
-1.1	0.0010085874127444459	-16.13616463436407	0.003762482345006971	1.9869657332911768	0.00686133322139601	-0.0041796875
-1.15	0.0009258414388320093	-16.582056417135806	0.0031083974921130605	2.070603079203418	0.0064651390722765545	0.0035546874999999993
-1.2	0.0009707155369441747	-17.044600402865207	0.002465974769525261	2.145254911087741	0.0045867125336253615	-0.007011718749999999
-1.25	0.0008374632669644532	-17.521218423120434	0.002023014191183112	2.194660600807281	0.004781368774955545	0.010161132812500003
-1.3	0.0009354955615887373	-18.01168051490786	0.0016677356954366048	2.234182245218716	0.0042917114397447945	-0.0020947265625000005
-1.35	0.0008856557064791151	-18.51152695723334	0.001502325126765412	2.2689577558556455	0.0034732276495037734	0.003382161458333334
-1.4	0.0008878985200223672	-19.02048207260732	0.0013252091787671727	2.2912781152667923	0.0034246078060921983	-0.003953450520833335
-1.45	0.0008343776661641196	-19.538160194790866	0.001228904131890301	2.3109530247637724	0.003088094399087915	-0.0076546223958333355

