dId	 Id	 dYmin	 Ymin	 dVratio	 Vratio	 
6	0.006470231927527208	3.899815996909887	3.962702237752612e-10	2.2505897145919108e-11	0.0013987555758933248	0.754587062074459
7	0.009711579153621235	3.369459505067121	4.2364883824197824e-10	-1.4991292207611196e-10	0.002099403596350525	0.6058493956187957
8	0.008369560387574072	3.0725863151915207	0.0009778839530511932	0.005528490674313162	0.002394081267583907	0.5066285508728828
9	0.0018528095403369462	3.004048077008288	0.0022430244114144994	0.03663715232245893	0.0024076608030228017	0.4358271209241459
10	4.4408920985006264e-17	3.0000000000000013	0.0022328270447247796	0.06769998722522366	0.0022328270447247796	0.38302186070547933
11	8.881784197001253e-17	3.0000000000000004	0.0019578036266226393	0.09038116289883052	0.0019578036266226393	0.3428845571823057
12	4.4408920985006264e-17	3.0000000000000013	0.0016780052560764966	0.10538075079340134	0.0016780052560764966	0.31311757873007345
13	0.0	3.000000000000002	0.001467029397423763	0.11272336201659948	0.001467029397423763	0.2931385823274559
14	0.0	3.000000000000002	0.001354386035209582	0.11212702383698268	0.0013543860352095817	0.28281155110159273
15	0.0	3.000000000000002	0.0013245935080357218	0.10541361374201237	0.0013245935080357218	0.2799964908315046
