dId	 Id	 dYmin	 Ymin	 dVratio	 Vratio	 
5	0.002014003286854996	3.975725047434991	4.1327894006821927e-10	2.544381150215713e-10	0.0004790741017540802	0.9942262462070492
6	0.002125504554788063	3.976043432601344	2.968829410087797e-10	5.295928784398996e-10	0.0005945779253517944	0.9932899112764627
7	0.001957546096013985	3.9783885347083947	4.017839922989348e-10	3.680422921981119e-10	0.0006171286812156702	0.9931716502267891
8	0.0018022747765437087	3.980217456926695	2.9893531724581994e-10	1.3162270828814826e-10	0.0006227564351976901	0.9931448742006453
9	0.0017345526083389889	3.9812946402633207	2.697862382364068e-10	-4.699645217431936e-10	0.0006442840137760668	0.9930285964606423
10	0.001967366430626127	3.9802645328774493	3.10817464509084e-10	1.2747865651974165e-10	0.0007735144272826369	0.9922043290312813
11	0.0027589938943216735	3.9693540388387176	2.9742143121665127e-10	-3.2925329129795955e-11	0.0011332550395581253	0.9873246856061378
12	0.004416915342571854	3.910842121113463	2.3647739830280896e-10	-2.1617224010839208e-10	0.0018573541852682442	0.9619463678705087
13	0.008404418687414362	3.664403099318814	2.6975406502982636e-10	-3.4566980389172384e-10	0.0033863442403653738	0.8580175455712928
14	0.012209267378313826	3.109141157210308	3.7089819832570706e-10	2.0782460419255245e-10	0.004195179322323745	0.6502811867121769
15	0.011512841761905798	2.7257089403029373	3.440639511095108e-10	5.058999119622598e-10	0.003447739816857581	0.5260380844530471
