dId	 Id	 dYmin	 Ymin	 dVratio	 Vratio	 
4	0.0053679600160685	2.870102078660102	3.4899221512278213e-10	2.966637990819976e-10	0.00137122812734842	0.966941083105852
5	0.005686944172497775	2.869888690432836	3.244868868926102e-10	-5.123901181125489e-10	0.0017290560319209488	0.9603062694485791
6	0.005372421917278736	2.881653760510797	3.792927723841712e-10	-3.688737570950451e-10	0.0018410816364165972	0.9591176396724176
7	0.0049786476820529715	2.891490015964984	2.713237580239796e-10	5.006758452275051e-11	0.001862946849980375	0.9589500818888627
8	0.004666820941707522	2.8986601622151427	2.734503345663222e-10	1.2439859586876877e-10	0.0018678835114839178	0.9589127209656086
9	0.004475216863599176	2.9036528846031513	3.046487238486786e-10	-6.367636307125223e-11	0.0018883888040547438	0.958752181083349
10	0.004604306807549754	2.905144198388765	2.3268318911272002e-10	-1.4453387708890374e-10	0.002023231468479884	0.9575975577834619
11	0.00533414154754803	2.89572379694178	2.1985074807444105e-10	-3.0119129634798014e-10	0.002415680617447741	0.9518216422549264
12	0.007147430692348992	2.840293265928752	2.3139359574939072e-10	-2.9865253825533954e-10	0.0032574752072073083	0.9248464901794192
13	0.009450386431465372	2.618267897140974	2.6443387567621134e-10	1.264413895807337e-10	0.004028172296805787	0.8235229121318032
14	0.009114519021033213	2.10805267760562	2.9779814900512845e-10	2.9215932562109967e-10	0.0032153871161731337	0.6207164102493284
15	0.007754292483216961	1.7537806475471773	3.5237882341692997e-10	-4.179105062007693e-10	0.0023721715426979605	0.5016591828699767
