dId	 Id	 dYmin	 Ymin	 dVratio	 Vratio	 
4	2.2204460492503132e-17	1.0000000000000004	0.0006097654382910324	0.11204965824447044	0.0006097654382910324	0.3763224347787855
5	0.0009538891881151271	0.9969913585159798	0.0004180967388964436	-0.006586156951575462	0.00046508130083671893	0.17299033563066082
6	0.005439738777513115	0.3619456010665343	3.7789261548097574e-10	-2.5163173184017395e-10	0.0003314157834278334	0.09426347647230021
7	0.0009633700076413695	0.002212951801275109	0.0002226839105010303	0.0032910214392098667	0.00024186824898223287	0.05942190895481746
8	0.0	8.881784197001254e-16	0.00018563869777878025	0.011621149396122214	0.00018563869777878022	0.04240045924733521
9	0.0	8.881784197001254e-16	0.00015145028026166817	0.013881940187395019	0.00015145028026166817	0.03357276214219949
10	0.0	8.881784197001254e-16	0.0001307352555178178	0.013363794220664992	0.0001307352555178178	0.028916795145126198
11	0.0	8.881784197001254e-16	0.00011804468144458004	0.011561855161400271	0.00011804468144458007	0.026542688072600743
12	0.0	8.881784197001254e-16	0.00011092496579093611	0.009227664468064244	0.00011092496579093614	0.02543900219860246
13	0.0	8.881784197001254e-16	0.00010754235648071191	0.006784089956095829	0.00010754235648071191	0.02500519251438557
14	0.0	8.881784197001254e-16	0.00010629591201991953	0.004474365471587123	0.00010629591201991954	0.024872663141765793
15	0.0002537432725691932	0.0002550215843005528	0.00010471557693533803	0.0024084606301033374	0.00010598696873346451	0.02484562705910625
