dId	 Id	 dYmin	 Ymin	 dVratio	 Vratio	 
6	0.0004112197539725331	4.996620663474397	2.984226585324069e-10	-1.1457614967902429e-10	9.384331631637824e-05	0.9992287516350287
7	0.0008824985853046775	4.996020009268254	3.961369054567708e-10	-2.038796009795618e-10	0.00023218015795310214	0.998950793758135
8	0.0009259352183639066	4.996252965362827	2.999042468911602e-10	-3.329192643786172e-10	0.00027192373946581067	0.9988957194111756
9	0.001118851735399632	4.996059849117321	3.1355778909253415e-10	-1.861288134730188e-10	0.00035794654218786697	0.9987321367953789
10	0.0011618754481734863	4.994275876750279	2.922086152034142e-10	2.8653520445232063e-10	0.00039955285558906397	0.9980193870906809
11	0.0019499693759807211	4.9804886002316024	2.9460891314837326e-10	-2.6566335242783623e-10	0.0007120872830588453	0.9928425488313221
12	0.00414954329245304	4.911969716841476	3.0449368588512387e-10	-2.346151883880765e-10	0.0015657676053904533	0.9663706746938743
13	0.007777222479714551	4.63658584065274	2.182193402898294e-10	1.7884684400115701e-10	0.002820247077502727	0.8610891670705737
14	0.010461999820783012	4.010780821358436	3.453337672675462e-10	7.00983870949301e-11	0.003245533331108468	0.6468933113116413
15	0.010071790025155288	3.599316276144157	3.8400552473691905e-10	3.6654348223308377e-10	0.002750898993930957	0.5231462874964532
