dS	 S	 dE	 E	 
0.0052905567846721225	0.4953983796229251	0.00013559715772607913	-26.58807177114561
0.0040275851121941595	0.5541953419101691	0.0001138738929618551	-26.9292208039166
0.006484217633934914	0.6825105176732374	0.0001348168687638761	-27.305403152956075
0.01030834395268904	0.800313603203217	0.00015313019569238194	-27.71907122267605
0.00900521776510337	0.9188881187544033	0.00021983193197150486	-28.169868966700463
0.0070965396371694784	1.0581400559919363	0.00024322233506083186	-28.661238622443594
0.006715535268587251	1.20966428766658	0.00031408093541009644	-29.1941076268091
0.010496482994688463	1.4251429027467664	0.00039245375336010235	-29.77203412015945
0.017544199562547137	1.678615838750263	0.0005737830652969396	-30.400857227176413
0.008027461818116232	1.9746361566297082	0.0005161280282542117	-31.08926417386647
0.0057796015855273945	2.3083865889028536	0.000349702372246594	-31.849478847933327
0.0046579075241004655	2.56921390255684	0.0003002689376871542	-32.68298067792176
0.003345188586500206	2.734167596760487	0.000207570870630499	-33.57637886161371
0.0025206947983513845	2.8350788710530135	0.00015075432927718626	-34.51621461424958
0.0016372628004547001	2.8980873496622985	0.00012150122440121898	-35.49103207936073
0.0013576714716760229	2.9415197258487824	8.845167045991251e-05	-36.49431012760047
0.0011183017128322341	2.9772047452734007	7.949672952383088e-05	-37.520519418796226
0.001024045323479336	3.0019139459457893	6.40092690000747e-05	-38.566695328311425
0.0009670339674473039	3.0233954623943045	5.8109810549403606e-05	-39.62971826803494
0.0008780480468061425	3.040898570998189	5.0654092583017865e-05	-40.707481744618164
