dD	 D	 
0.0	1.0
0.3	2.1
0.6403124237432849	6.7
1.9209372712298547	15.9
4.28485705712571	29.8
7.6583287994183165	47.5
12.010412149464313	67.5
16.860901518009054	88.1
21.656638705025305	108.7
26.31805463935357	128.6
30.548322376196047	148.0
34.68486701718777	166.4
38.486491136501385	183.7
42.41273393687325	200.6
46.171419731258	217.0
49.64876634922564	233.0
53.18872060879073	248.4
56.58657084503354	263.6
59.83510675180584	278.6
62.78287983200516	293.9
64.39262380117772	309.7
63.93191691166471	326.9
60.10623927680054	345.8
52.899527408096944	366.8
43.65134591281236	388.6
34.89412558010302	411.0
28.38379819544946	432.6
25.02179050347916	452.9
23.747842007222467	471.2
23.301502097504358	488.8
23.272515979154466	505.3
23.414525406251563	521.4
23.435229890060818	537.7
23.349732332512936	553.7
23.5306183514161	570.1
23.573077864377403	587.1
24.584547992590792	605.0
27.922213379315043	624.5
34.39534852272906	645.4
42.91806146600753	666.8
51.89759146627134	688.2
58.646739039779526	708.4
62.19075493994264	726.9
62.62818854158245	744.1
60.85794935749971	759.9
58.06582471643711	775.4
54.77919313023879	790.8
51.28703539882179	806.2
47.764421905849545	821.6
44.22318396497475	837.1
40.49061619684245	853.1
36.610927330511586	869.2
32.57376244771242	885.5
28.597902020952514	902.4
24.35487630845207	919.8
20.076105199963465	937.5
15.880806024884253	955.0
11.745637488020817	972.2
7.905061669588669	988.1
4.648655719667784	1001.7
2.2561028345356955	1011.9
1.019803902718557	1018.4
0.4	1021.2
0.0	1022.0
