dNS	 NS	 dE	 E	 
0	50	0.7000000000000001	-120.9
0	100	0.7000000000000001	-120.9
0	150	0.7745966692414834	-121.0
0	200	0.9797958971132711	-120.8
0	250	0.7745966692414834	-121.0
0	300	0.7745966692414834	-121.0
0	350	0.8306623862918076	-121.1
0	400	0.8306623862918076	-121.1
0	450	0.8717797887081347	-121.2
0	500	0.9	-121.3
0	550	0.9165151389911679	-121.4
0	600	1.1874342087037917	-121.3
0	650	0.9219544457292888	-121.5
0	700	1.2	-121.4
0	750	0.9	-121.7
0	800	0.9165151389911679	-121.6
0	850	0.9219544457292888	-121.5
0	900	0.9219544457292888	-121.5
0	950	0.9219544457292888	-121.5
0	1000	0.9219544457292888	-121.5
